77;3;KD;HI;3x;13;3
77;4;PW;EN;3t;2;3
77;4;BE;DA;3x;5;3
78;1;TT;re;3t;1;3
78;1;OD;ol;3x;6;3
78;4;TT;re;3w;14;3
78;4;ID;Bi;3y;19;3
79;1;OD;ol;3y;2;3
79;2;PL;DA;3y;4;3
79;2;BB;EN;3x;15;3
79;3;SR;BT;3w;9;3
79;3;KD;HI;3x;0;3
79;4;OD;HI;3y;3;3
79;4;TQ;SA;3x;12;3
80;1;OD;HI;3t;15;3
80;1;KD;HI;3x;9;3
80;1;SR;BT;3w;0;3
80;2;LM;DA;3t;12;3
80;3;MD;Fy;3x;4;3
80;3;LM;DA;3t;18;3
80;4;AP;HI;3w;18;3
81;1;LM;DA;3t;15;3
81;2;TQ;SA;3x;3;3
81;3;PW;EN;3t;5;3
81;4;LM;DA;3t;16;3
81;4;BB;EN;3x;18;3
82;1;HD;MA;3w;12;3
82;2;LM;DA;3t;8;3
82;2;OD;ol;3y;17;3
82;3;LM;EN;3y;15;3
82;3;PW;DA;3w;6;3
82;4;BE;DA;3x;2;3
83;1;PW;EN;3t;1;3
84;1;OD;ol;3y;16;3
84;2;SR;BT;3w;0;3
84;2;BB;EN;3x;16;3
84;2;PL;DA;3y;17;3
84;4;OD;HI;3t;13;3
85;1;LM;EN;3y;17;3
85;2;TT;re;3t;18;3
85;3;MD;Fy;3x;5;3
85;3;SR;BT;3w;13;3
85;4;PW;EN;3t;10;3
86;1;BB;EN;3x;12;3
86;2;MD;Fy;3x;9;3
86;3;PL;DA;3y;13;3
86;4;HD;MA;3w;0;3
86;4;PW;EN;3t;18;3
87;1;TQ;SA;3x;11;3
87;2;PW;DA;3w;17;3
